2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 REST UserService listening on :8090
2026/09/17 14:18:54 metrics listening on :9100
2026/09/17 14:18:54 gRPC UserService listening on :50060
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.192614ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.049069ms |       127.0.0.1 | GET      "/v1/drivers/5598f1a2-db5f-4b49-a716-ee3bb054dd9b"
[GIN] 2026/09/17 - 14:21:13 | 200 |     966.535µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.484262ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.177827ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.041712ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |     738.887µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.160943ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.292561ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.718924ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.573806ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.427034ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.209117ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.212583ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
