2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 metrics listening on :9103
2026/09/17 14:18:54 REST UserService listening on :8093
2026/09/17 14:18:54 gRPC UserService listening on :50063
[GIN] 2026/09/17 - 14:22:29 | 200 |    1.613727ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:29 | 200 |    1.073666ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:29 | 200 |    2.881166ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:29 | 200 |    1.146774ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:29 | 200 |     972.335µs |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:30 | 200 |    1.132207ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:30 | 200 |    1.087672ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:31 | 200 |    1.229172ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:31 | 200 |    2.359581ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:24:57 | 200 |      52.188µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/09/17 - 14:24:57 | 200 |    2.496018ms |       127.0.0.1 | GET      "/v1/drivers?page_size=1"
